Price,Dell Technologies
Ticker,DELL
Date,
2025-01-02,115.32555389404297
2025-01-03,118.67062377929688
2025-01-06,123.37152862548828
2025-01-07,120.01655578613281
2025-01-08,118.07681274414062
2025-01-10,113.583740234375
2025-01-13,109.03128814697266
2025-01-14,107.9327621459961
2025-01-15,108.10100555419922
2025-01-16,108.97190856933594
2025-01-17,108.50675964355469
2025-01-21,110.39702606201172
2025-01-22,114.38644409179688
2025-01-23,113.49217224121094
2025-01-24,113.00529479980469
2025-01-27,103.17831420898438
2025-01-28,100.64456176757812
2025-01-29,102.44303131103516
2025-01-30,104.67869567871094
2025-01-31,102.9398422241211
2025-02-03,99.45220947265625
2025-02-04,101.02214050292969
2025-02-05,103.784423828125
2025-02-06,105.24505615234375
2025-02-07,105.69219970703125
2025-02-10,111.5943374633789
2025-02-11,110.72988891601562
2025-02-12,112.20045471191406
2025-02-13,109.55741119384766
2025-02-14,113.65115356445312
2025-02-18,119.57317352294922
2025-02-19,120.18922424316406
2025-02-20,119.12604522705078
2025-02-21,116.85063171386719
2025-02-24,113.41268157958984
2025-02-25,109.9449234008789
2025-02-26,114.9130630493164
2025-02-27,107.14289093017578
2025-02-28,102.1052017211914
2025-03-03,94.9510726928711
2025-03-04,93.47057342529297
2025-03-05,96.63031005859375
2025-03-06,92.42726135253906
2025-03-07,90.87720489501953
2025-03-10,89.76433563232422
2025-03-11,90.98650360107422
2025-03-12,93.97732543945312
2025-03-13,91.86089324951172
2025-03-14,95.06037139892578
2025-03-17,97.0376968383789
2025-03-18,95.82546997070312
2025-03-19,98.0909423828125
2025-03-20,98.28966522216797
2025-03-21,96.9482650756836
2025-03-24,99.17399597167969
2025-03-25,98.23004913330078
2025-03-26,95.64662170410156
2025-03-27,96.48126220703125
2025-03-28,91.70191192626953
2025-03-31,90.56918334960938
2025-04-01,91.37401580810547
2025-04-02,94.72254180908203
2025-04-03,76.73788452148438
2025-04-04,71.1735610961914
2025-04-07,74.52208709716797
2025-04-08,72.12744140625
2025-04-09,83.65353393554688
2025-04-10,78.43698120117188
2025-04-11,81.40792846679688
2025-04-14,84.64715576171875
2025-04-15,84.94524383544922
2025-04-16,82.82881927490234
2025-04-17,84.2596435546875
2025-04-21,81.86499786376953
2025-04-22,84.08000183105469
2025-04-23,89.16000366210938
2025-04-24,94.4000015258789
2025-04-25,94.88999938964844
2025-04-28,94.47000122070312
2025-04-29,93.77999877929688
2025-04-30,91.76000213623047
2025-05-01,91.94999694824219
2025-05-02,94.58999633789062
2025-05-05,94.36000061035156
2025-05-06,93.94999694824219
2025-05-07,95.79000091552734
2025-05-08,96.22000122070312
2025-05-09,95.91000366210938
2025-05-12,103.41999816894531
2025-05-13,107.8499984741211
2025-05-14,111.0199966430664
2025-05-15,110.87000274658203
2025-05-16,114.19000244140625
2025-05-19,114.27999877929688
2025-05-20,114.2300033569336
2025-05-21,111.93000030517578
2025-05-22,111.94999694824219
2025-05-23,112.11000061035156
2025-05-27,113.98999786376953
2025-05-28,113.7699966430664
2025-05-29,113.62999725341797
2025-05-30,111.2699966430664
2025-06-02,108.08000183105469
2025-06-03,111.9000015258789
2025-06-04,112.69999694824219
2025-06-05,111.81999969482422
2025-06-06,113.75
2025-06-09,114.22000122070312
2025-06-10,113.25
2025-06-11,111.23999786376953
2025-06-12,113.4000015258789
2025-06-13,109.55999755859375
2025-06-16,113.73999786376953
2025-06-17,115.93000030517578
2025-06-18,116.55999755859375
2025-06-20,119.37000274658203
2025-06-23,118.0199966430664
2025-06-24,120.58999633789062
2025-06-25,120.45999908447266
2025-06-26,125.9800033569336
2025-06-27,123.98999786376953
