Price,Semiconductor ETF
Ticker,SMH
Date,
2025-01-02,244.7899932861328
2025-01-03,251.8800048828125
2025-01-06,260.2300109863281
2025-01-07,254.0399932861328
2025-01-08,252.22999572753906
2025-01-10,247.17999267578125
2025-01-13,244.63999938964844
2025-01-14,245.44000244140625
2025-01-15,251.2100067138672
2025-01-16,252.2899932861328
2025-01-17,258.25
2025-01-21,262.3900146484375
2025-01-22,267.1700134277344
2025-01-23,266.8500061035156
2025-01-24,261.5299987792969
2025-01-27,235.80999755859375
2025-01-28,240.4499969482422
2025-01-29,239.52999877929688
2025-01-30,245.1699981689453
2025-01-31,243.6199951171875
2025-02-03,238.77999877929688
2025-02-04,241.47000122070312
2025-02-05,247.13999938964844
2025-02-06,248.35000610351562
2025-02-07,245.0
2025-02-10,249.6199951171875
2025-02-11,249.8699951171875
2025-02-12,248.50999450683594
2025-02-13,251.9199981689453
2025-02-14,252.5800018310547
2025-02-18,256.2200012207031
2025-02-19,257.3399963378906
2025-02-20,257.79998779296875
2025-02-21,249.99000549316406
2025-02-24,243.4199981689453
2025-02-25,238.25
2025-02-26,243.82000732421875
2025-02-27,228.7899932861328
2025-02-28,232.77000427246094
2025-03-03,223.00999450683594
2025-03-04,225.22999572753906
2025-03-05,229.39999389648438
2025-03-06,219.77999877929688
2025-03-07,225.08999633789062
2025-03-10,214.52999877929688
2025-03-11,214.22000122070312
2025-03-12,220.52000427246094
2025-03-13,219.5500030517578
2025-03-14,226.57000732421875
2025-03-17,228.9600067138672
2025-03-18,225.4199981689453
2025-03-19,227.41000366210938
2025-03-20,227.0500030517578
2025-03-21,224.77000427246094
2025-03-24,230.6300048828125
2025-03-25,229.64999389648438
2025-03-26,222.00999450683594
2025-03-27,217.75
2025-03-28,212.1699981689453
2025-03-31,211.47000122070312
2025-04-01,212.49000549316406
2025-04-02,214.08999633789062
2025-04-03,195.57000732421875
2025-04-04,180.8000030517578
2025-04-07,184.89999389648438
2025-04-08,179.9499969482422
2025-04-09,210.8300018310547
2025-04-10,196.2100067138672
2025-04-11,201.30999755859375
2025-04-14,201.61000061035156
2025-04-15,202.9199981689453
2025-04-16,194.35000610351562
2025-04-17,192.52999877929688
2025-04-21,187.8300018310547
2025-04-22,191.89999389648438
2025-04-23,198.91000366210938
2025-04-24,208.97000122070312
2025-04-25,211.97000122070312
2025-04-28,210.64999389648438
2025-04-29,210.2899932861328
2025-04-30,211.27999877929688
2025-05-01,212.3000030517578
2025-05-02,219.02999877929688
2025-05-05,217.61000061035156
2025-05-06,215.58999633789062
2025-05-07,220.02000427246094
2025-05-08,221.9499969482422
2025-05-09,223.39999389648438
2025-05-12,237.41000366210938
2025-05-13,245.55999755859375
2025-05-14,247.99000549316406
2025-05-15,247.1300048828125
2025-05-16,246.4199981689453
2025-05-19,246.00999450683594
2025-05-20,245.5399932861328
2025-05-21,241.47000122070312
2025-05-22,240.80999755859375
2025-05-23,237.44000244140625
2025-05-27,244.97000122070312
2025-05-28,242.36000061035156
2025-05-29,244.0800018310547
2025-05-30,239.75
2025-06-02,243.3000030517578
2025-06-03,248.7899932861328
2025-06-04,251.75
2025-06-05,251.3000030517578
2025-06-06,252.72999572753906
2025-06-09,256.9599914550781
2025-06-10,262.07000732421875
2025-06-11,261.8800048828125
2025-06-12,263.1499938964844
2025-06-13,256.989990234375
2025-06-16,263.3800048828125
2025-06-17,261.5899963378906
2025-06-18,262.5899963378906
2025-06-20,260.2699890136719
2025-06-23,261.9200134277344
2025-06-24,271.5400085449219
2025-06-25,275.20001220703125
2025-06-26,277.20001220703125
2025-06-27,278.4200134277344
