model,seasonal,horizon,rmse,mae,mape
"ARIMA(0, 1, 0)",False,1,4.3234223605511595,3.157823645550273,1.5186521002759512
"ARIMA(0, 1, 0)",False,3,7.320632532028626,5.828570411318824,2.8127032691587392
"ARIMA(0, 1, 0)",False,7,10.456804217032804,9.134118472828574,4.452483517440677
"ARIMA(1, 1, 1)",False,1,4.277475334522988,3.2160291243341987,1.5464655282759865
"ARIMA(1, 1, 1)",False,3,7.421490491168051,5.812946788402841,2.8033000707250877
"ARIMA(1, 1, 1)",False,7,10.57873807568068,8.959257013921379,4.369262693877346
"ARIMA(1, 1, 0)",False,1,4.248675849365549,3.1769280426678357,1.5277142737379126
"ARIMA(1, 1, 0)",False,3,7.355397830554414,5.806529515875391,2.800843561306133
"ARIMA(1, 1, 0)",False,7,10.47895118994007,9.005888824536013,4.390525979281296
"ARIMA(0, 1, 1)",False,1,4.24796228218254,3.162215887297334,1.52061323157613
"ARIMA(0, 1, 1)",False,3,7.345912833189735,5.8154313422268595,2.805459494776739
"ARIMA(0, 1, 1)",False,7,10.471108070783684,9.03619399249311,4.405153368594759
"SARIMA(1, 1, 1)",True,1,4.287671919317351,3.2581298564482273,1.5662385762299404
"SARIMA(1, 1, 1)",True,3,7.389173457938272,5.7527686104960605,2.775694586797624
"SARIMA(1, 1, 1)",True,7,10.56199742082551,8.717622017025622,4.264476961258874
