model,seasonal,horizon,rmse,mae,mape
"ARIMA(0, 1, 0)",False,1,2.441750326136594,2.0017398336659338,1.7373247219235637
"ARIMA(0, 1, 0)",False,3,3.648504435273304,3.0895236787341878,2.664486173466255
"ARIMA(0, 1, 0)",False,7,5.49890697519047,4.1694111543543215,3.497127905346327
"ARIMA(1, 1, 1)",False,1,2.4815229207954186,2.0268807263481388,1.758351140419861
"ARIMA(1, 1, 1)",False,3,3.6651025343615604,3.0918082464212255,2.6678154649096
"ARIMA(1, 1, 1)",False,7,5.505998148940908,4.1823872578789265,3.509908716543629
"ARIMA(0, 1, 1)",False,1,2.480781740182938,2.02490001904353,1.7566043141218104
"ARIMA(0, 1, 1)",False,3,3.6629855632444417,3.0906739127373593,2.6666338231034956
"ARIMA(0, 1, 1)",False,7,5.504119971994445,4.178091635008238,3.505965691100493
"ARIMA(1, 1, 0)",False,1,2.489397749809167,2.031614286738852,1.762253804220191
"ARIMA(1, 1, 0)",False,3,3.6673984268663284,3.090536642647776,2.666964084714741
"ARIMA(1, 1, 0)",False,7,5.505723638812922,4.182815487112453,3.510601436189962
"SARIMA(1, 1, 1)",True,1,2.482351595977394,2.0502110855709588,1.7790119435691052
"SARIMA(1, 1, 1)",True,3,3.6941933709880757,3.0941925902148677,2.672836597932297
"SARIMA(1, 1, 1)",True,7,5.66041773486123,4.417189232747479,3.71459065782111
