model,seasonal,horizon,rmse,mae,mape
"ARIMA(0, 1, 0)",False,1,2.441750326136594,2.0017398336659338,1.7373247219235637
"ARIMA(0, 1, 0)",False,3,3.648504435273304,3.0895236787341878,2.664486173466255
"ARIMA(0, 1, 0)",False,7,5.49890697519047,4.1694111543543215,3.497127905346327
"ARIMA(1, 1, 1)",False,1,2.4815229209267904,2.026880726250809,1.758351140304781
"ARIMA(1, 1, 1)",False,3,3.6651025350390687,3.091808246291209,2.667815464797026
"ARIMA(1, 1, 1)",False,7,5.505998150009823,4.182387258464554,3.509908717030288
"ARIMA(0, 1, 1)",False,1,2.480781739834366,2.0249000187297868,1.756604313842188
"ARIMA(0, 1, 1)",False,3,3.6629855630746704,3.090673912539125,2.666633822934784
"ARIMA(0, 1, 1)",False,7,5.504119971676396,4.178091634788609,3.505965690917743
"ARIMA(1, 1, 0)",False,1,2.489397749809165,2.031614286738851,1.7622538042201903
"ARIMA(1, 1, 0)",False,3,3.6673984268663276,3.0905366426477756,2.6669640847147402
"ARIMA(1, 1, 0)",False,7,5.505723638812923,4.182815487112454,3.5106014361899627
"SARIMA(1, 1, 1)",True,1,2.4823511380725023,2.0502108306841107,1.779011720739019
"SARIMA(1, 1, 1)",True,3,3.69419262387343,3.0941922501207992,2.6728363129957886
"SARIMA(1, 1, 1)",True,7,5.660415813642367,4.417188083083363,3.714589700207843
