model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0)",1,4.282324944808446,3.123428529332236,1.5030348017525852,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(0, 1, 0)",3,6.995793221035594,5.618152289344421,2.715249624324469,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(0, 1, 0)",7,10.478084510251426,9.155796059927985,4.463989255697869,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 1)",1,4.207732553347278,3.1939693095245825,1.5375738700296426,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 1)",3,7.06558681407216,5.579186982596703,2.693600883864541,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 1)",7,10.629279579013923,8.984115960950366,4.382877159824555,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 0)",1,4.187946901594134,3.1265687766539703,1.5042997365628596,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 0)",3,7.014729430941607,5.594810815921197,2.7024325837957988,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(1, 1, 0)",7,10.54781746224778,9.021358354293588,4.398549661822539,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(0, 1, 1)",1,4.205013470890156,3.1297937341697413,1.5065895306939883,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(0, 1, 1)",3,6.997323367138129,5.606212991515518,2.708356637312466,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
"SARIMAX(0, 1, 1)",7,10.46274936837946,9.009914683085078,4.3932229147955155,"^VIX_lag11,^TNX_lag25,ITA_lag14,XLI_lag24,SLX_lag10"
