model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0)",1,2.551610513027623,2.112945230447424,1.832242757863101,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0)",3,4.022983202665587,3.3816578042766814,2.911323719962581,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0)",7,5.670439437310674,3.8924857726477655,3.251876203544895,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",1,2.738041895650221,2.2963161891723667,2.002481277587561,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",3,4.16443233351224,3.599668762719983,3.105627146437161,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",7,5.979485357215648,4.194350646764454,3.515623831006281,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",1,2.59825510779936,2.1237965827669183,1.8414523658600397,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",3,4.052264000136991,3.395323548470372,2.9255730255409578,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",7,5.791080231543072,3.959918197837432,3.310093512160818,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",1,2.6323359071045,2.142210537953466,1.8577205980785838,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",3,4.085333431053074,3.397119844587358,2.9269245804791693,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",7,5.8607924563483556,3.983112074271575,3.3290004931339956,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
