model,exo_var,horizon,rmse,mae,mape
best_model_fn,SLX,1,10.141503641207144,7.705271221508622,3.419781343156012
best_model_fn,SLX,3,15.768144527740132,10.967906264669072,4.777157270151273
best_model_fn,SLX,7,18.26399868504497,14.507790562574533,6.352478588735602
best_model_fn,CL=F,1,10.777274555217222,7.533167438119002,3.2965319789581926
best_model_fn,CL=F,3,12.999131306404248,9.51702605799718,4.152625537930336
best_model_fn,CL=F,7,16.670331221144338,12.710694389556936,5.506934975896627
best_model_fn,ITA,1,11.174591191556797,8.294504829821872,3.668176349874088
best_model_fn,ITA,3,13.022897765322671,9.147843199092051,3.9761399825982258
best_model_fn,ITA,7,16.038108468189222,12.126331259001176,5.248661036773226
best_model_fn,^VIX,1,12.985584735303547,9.406729414659868,4.094290891562975
best_model_fn,^VIX,3,15.236880195952407,10.217275208026184,4.397460739802558
best_model_fn,^VIX,7,19.68651526545476,14.469660652119783,6.2416264135387545
best_model_fn,^TNX,1,11.18964758441596,8.383551372003563,3.737399410034636
best_model_fn,^TNX,3,12.717044145295684,9.67277626475506,4.255284420086429
best_model_fn,^TNX,7,15.000195689958124,11.52008986574334,5.060569702660175
best_model_fn,DX-Y.NYB,1,11.496753595597438,8.979127415070547,3.93540904051414
best_model_fn,DX-Y.NYB,3,14.342868414562195,10.883611702021312,4.810876087110644
best_model_fn,DX-Y.NYB,7,17.615265401540494,13.103711286106885,5.625014787821974
best_model_fn,JETS,1,10.049282360199236,7.743678084730205,3.406018979910977
best_model_fn,JETS,3,12.959674695079636,9.902752425036708,4.365138999293456
best_model_fn,JETS,7,13.892367160095771,10.7217504340013,4.669259195226688
best_model_fn,XLI,1,10.476361131016445,7.929398147149042,3.4669721304106496
best_model_fn,XLI,3,14.722631924872676,10.30709870539784,4.4817969186950135
best_model_fn,XLI,7,16.29763852083475,11.750980727918057,5.053592497439208
best_model_fn,IYT,1,12.639257212599308,9.493852639059986,4.17276624492834
best_model_fn,IYT,3,14.394660602721618,10.77926910662755,4.693079385078301
best_model_fn,IYT,7,17.331739525837396,12.763129176127684,5.515071171330934
