model,exo_var,horizon,rmse,mae,mape
best_model_fn,SMH,1,1.656352669040457,1.2702792839662451,3.30839220667011
best_model_fn,SMH,3,1.730510018211889,1.3972165137933417,3.643345039801428
best_model_fn,SMH,7,1.8017461379430613,1.3918884629901869,3.606299896214953
best_model_fn,^IXIC,1,2.0147566866849,1.6711845856647107,4.334520895636809
best_model_fn,^IXIC,3,1.7795344309380567,1.3799628801310135,3.5945413310273717
best_model_fn,^IXIC,7,2.097200552670924,1.5945875283599888,4.082110932265371
best_model_fn,XLK,1,1.7794124810378134,1.4046833016531688,3.643116372758195
best_model_fn,XLK,3,2.042252101808641,1.529739496791194,3.924881011966004
best_model_fn,XLK,7,2.21929374213926,1.7750044934305682,4.558006706936353
best_model_fn,HG=F,1,1.049581855967354,0.8602465039089112,2.2721698222290603
best_model_fn,HG=F,3,1.187620302415694,0.9926266233412664,2.6298715423878334
best_model_fn,HG=F,7,1.3478418974615642,1.0926161417501896,2.855410669629443
best_model_fn,CL=F,1,1.502068283902683,1.2647318717460545,3.344921425553267
best_model_fn,CL=F,3,1.3261857239411043,1.135054559413311,2.981246065382038
best_model_fn,CL=F,7,2.105547153235212,1.723710907596478,4.4638813573997504
best_model_fn,DX-Y.NYB,1,1.4978129519882672,1.2221474085338817,3.1901166534815486
best_model_fn,DX-Y.NYB,3,1.760674955872876,1.4827490875953344,3.8621776288754814
best_model_fn,DX-Y.NYB,7,2.016051757784856,1.5823900977320289,4.067696546674167
best_model_fn,^TNX,1,1.2475078815416325,1.0080809760168223,2.6570682450812293
best_model_fn,^TNX,3,1.6995822785685943,1.4387958968195107,3.791978163365701
best_model_fn,^TNX,7,1.77490110753091,1.4848143863876655,3.878803460442124
best_model_fn,XLY,1,1.937282718362756,1.5959467477104756,4.145993513520556
best_model_fn,XLY,3,2.216205494628599,1.734271402903384,4.488384384088447
best_model_fn,XLY,7,2.46363488961552,1.952490662840016,5.014887031234216
best_model_fn,XLI,1,1.3915693988117228,1.1410178707202323,3.0250112382785628
best_model_fn,XLI,3,1.60735379226898,1.2865457163894538,3.357903573169764
best_model_fn,XLI,7,2.1300867910230488,1.7465433809524484,4.580224181322587
best_model_fn,IYT,1,1.5835411997309388,1.3503907618900255,3.564354763481007
best_model_fn,IYT,3,1.7226005210013389,1.4059464392958945,3.6983157577093273
best_model_fn,IYT,7,2.0522722700623333,1.6893957610604275,4.403074817508754
best_model_fn,^VIX,1,1.5397837498972078,1.263741661520127,3.344524127652315
best_model_fn,^VIX,3,1.6304577768912576,1.3071245108701683,3.435346067728929
best_model_fn,^VIX,7,2.1721508034428454,1.823660388613204,4.763637821179327
