model,exo_var,horizon,rmse,mae,mape,category
best_model_fn,SMH,1,4.18412945692561,3.7239543415100864,3.208686578413712,sectoral
best_model_fn,SMH,3,4.931093832823935,4.207937044552825,3.6144066382579614,sectoral
best_model_fn,SMH,7,6.165118683617004,5.582884013796259,4.8155254911512095,sectoral
best_model_fn,^IXIC,1,4.871322781798726,4.250880743683167,3.639584759917468,sectoral
best_model_fn,^IXIC,3,6.214407722469353,5.2375385976906825,4.467222664100103,sectoral
best_model_fn,^IXIC,7,7.066887775068095,5.935340722694368,5.0610065486074856,sectoral
best_model_fn,XLK,1,4.492794717013249,3.924487987575636,3.375706903946949,sectoral
best_model_fn,XLK,3,5.486528236016152,4.755918886798883,4.082126456676318,sectoral
best_model_fn,XLK,7,6.166101291199438,5.452567226315052,4.674326048998779,sectoral
best_model_fn,HG=F,1,5.753292593587371,4.875433821218033,4.165175116879399,supply_chain_and_commodities
best_model_fn,HG=F,3,6.210120151985298,5.250075786475811,4.471955087578563,supply_chain_and_commodities
best_model_fn,HG=F,7,7.250272547947701,5.665286918483333,4.800216338175606,supply_chain_and_commodities
best_model_fn,CL=F,1,5.770508172530225,4.3420332151080085,3.684761070531157,supply_chain_and_commodities
best_model_fn,CL=F,3,6.218030991371861,4.663146050114366,3.940782272821138,supply_chain_and_commodities
best_model_fn,CL=F,7,6.688195701319737,5.126375345493925,4.362368013118965,supply_chain_and_commodities
best_model_fn,DX-Y.NYB,1,3.7464500080475625,3.259525828636306,2.81606811414645,macroeconomic
best_model_fn,DX-Y.NYB,3,4.503281046216287,3.6371971731277393,3.1024943892600345,macroeconomic
best_model_fn,DX-Y.NYB,7,6.110012884120537,4.808143182941657,4.097592526523988,macroeconomic
best_model_fn,^TNX,1,6.338487985812994,5.139791186731755,4.371177737971775,macroeconomic
best_model_fn,^TNX,3,6.532643620511377,5.174168951878646,4.39506765931217,macroeconomic
best_model_fn,^TNX,7,6.810218006996853,5.445795308593751,4.636776498878811,macroeconomic
best_model_fn,XLY,1,6.445997587487389,5.757621440325586,4.929171536001591,macroeconomic
best_model_fn,XLY,3,7.2311112412334015,6.326595628950912,5.402797556356751,macroeconomic
best_model_fn,XLY,7,8.103875551972406,6.937860397262935,5.91007615339029,macroeconomic
best_model_fn,XLI,1,4.240373021525262,3.5777506469209137,3.069700507120864,macroeconomic
best_model_fn,XLI,3,4.250112724230169,3.227107736227949,2.740102361640615,macroeconomic
best_model_fn,XLI,7,5.567835224733414,4.507811016682545,3.8441365381516457,macroeconomic
best_model_fn,IYT,1,6.980609010037975,5.808856491943752,5.000843531065723,supply_chain_and_commodities
best_model_fn,IYT,3,7.226558025106865,6.538960624499408,5.61397299230684,supply_chain_and_commodities
best_model_fn,IYT,7,8.009691728510601,7.028611564164628,6.033941920051619,supply_chain_and_commodities
best_model_fn,^VIX,1,5.505787763460188,4.880188514908134,4.193971107798207,macroeconomic
best_model_fn,^VIX,3,6.4380940792222034,5.594553527157935,4.7737416555092445,macroeconomic
best_model_fn,^VIX,7,6.871036860615204,5.50498229887295,4.672200221675228,macroeconomic
