model,horizon,rmse,mae,mape,exog_vars
"SARIMAX(0, 1, 0)",1,2.551610512217494,2.1129452303903298,1.832242757860035,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0)",3,4.022983203016536,3.381657804643286,2.9113237202771,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 0)",7,5.670439435508912,3.892485772039728,3.251876203071953,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",1,2.738046577129681,2.2963177750610217,2.002482351996177,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",3,4.164436249912228,3.599670329552951,3.105628032175783,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 1)",7,5.97948305777895,4.194346478481469,3.515620109127098,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",1,2.5982551114611447,2.123796588950508,1.8414523708458528,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",3,4.052263997764158,3.3953235421382715,2.925573020143615,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(1, 1, 0)",7,5.7910802316262044,3.959918213988382,3.3100935263253293,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",1,2.6323359060501543,2.1422105386718133,1.8577205986785874,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",3,4.085333430945213,3.3971198470712154,2.926924582441435,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
"SARIMAX(0, 1, 1)",7,5.860792449585168,3.9831120703341183,3.3290004897991525,"CL=F_lag4,^TNX_lag7,^VIX_lag1"
