model,exo_var,horizon,rmse,mae,mape
best_model_fn,SMH,1,4.40248502910834,3.605522753568628,3.131792618557257
best_model_fn,SMH,3,4.5302631093484615,4.00795068916534,3.442715970007103
best_model_fn,SMH,7,5.883638830979475,4.998294239559106,4.276586069830217
best_model_fn,^IXIC,1,5.484784260433869,4.8291522738543184,4.149216143126317
best_model_fn,^IXIC,3,5.953336181909483,5.125803555735406,4.373756560102113
best_model_fn,^IXIC,7,7.080451808965306,6.2915631740546685,5.39591094618535
best_model_fn,XLK,1,4.905822847853052,4.221331052958576,3.6468898506158816
best_model_fn,XLK,3,5.092625602850939,4.497012831671222,3.855564205206072
best_model_fn,XLK,7,5.9049235057026905,5.137834178672513,4.401008896908843
best_model_fn,HG=F,1,5.534950161008978,4.843047616167253,4.14069808650596
best_model_fn,HG=F,3,6.279871269136528,5.104995186458393,4.340082458895676
best_model_fn,HG=F,7,7.531155953196791,6.068501180424149,5.160534026512326
best_model_fn,CL=F,1,6.061739176351041,4.685422477778318,3.9658132325151594
best_model_fn,CL=F,3,6.26540626132657,4.526072701420196,3.8155282337580863
best_model_fn,CL=F,7,6.376129294934043,4.694500500949011,3.988552738127081
best_model_fn,DX-Y.NYB,1,3.420290463203424,3.0038572097542016,2.5970042213453834
best_model_fn,DX-Y.NYB,3,4.507129069370466,3.543805290967411,3.029947256867969
best_model_fn,DX-Y.NYB,7,5.292316666179443,4.044585714150536,3.4244941222169465
best_model_fn,^TNX,1,5.860729022984547,4.736469020704366,4.026877634954682
best_model_fn,^TNX,3,6.46382405061638,5.2691662128716645,4.479560625011582
best_model_fn,^TNX,7,7.1048153890409695,5.709449351653501,4.861980509615416
best_model_fn,XLY,1,6.963470902839502,6.279356129714152,5.378878272175873
best_model_fn,XLY,3,7.236160109739098,6.410216406908616,5.487538894384223
best_model_fn,XLY,7,7.9531845978668,6.9124076888803865,5.900761293443649
best_model_fn,XLI,1,4.515638843477107,3.847517748656052,3.293573251380705
best_model_fn,XLI,3,4.865340571063332,3.615665763435057,3.0616404828443384
best_model_fn,XLI,7,5.489727824234326,4.281576811358908,3.641658276862002
best_model_fn,IYT,1,5.3746264853964325,4.618515825876541,3.9759344067326823
best_model_fn,IYT,3,6.369765016963243,5.5748471694974,4.772538618920712
best_model_fn,IYT,7,7.521676897726762,6.605390204416592,5.702422860946761
best_model_fn,^VIX,1,6.118670766863329,5.21496450029391,4.4541229407892375
best_model_fn,^VIX,3,6.163235324078788,5.062015062081066,4.301197987593818
best_model_fn,^VIX,7,7.783641571103415,6.680351941540916,5.704862798030054
